1 ,        14312100 ,       1068018  
2 ,        28726536 ,       2211824  
4 ,        57406676 ,       4833462  
8 ,       114844790 ,       8654170  
16 ,      229947725 ,      17849944  
32 ,      457512606 ,      35218765  
64 ,      857687030 ,      81180830  
128 ,    1545165698 ,     159337055  
256 ,    2888918908 ,     276316557  
